"고유번호","녹지대ID","녹지대명","주소한글","녹지대분류","녹지대조성년도","녹지대면적","조경량","구명","구코드","생성일","사진파일명","경도","위도"
"1656","0","방학동 녹지대","방학동678외3필지","광장녹지","1982","15780.00000000","51331.00000000","도봉구","320",""," ","127.0432165","37.6633459"
"1657","0","그린파크앞","우이동207-7","도로변녹지","0","410.00000000","2270.00000000","강북구","300",""," ","127.0127296","37.6632841"
"1658","0","동작대로"," ","중앙분리","0","11715.00000000","0E-8","관악구","620",""," ","126.9818342","37.4748869"
"1659","0","올림픽로 분리대"," ","중앙분리대","0","28907.00000000","0E-8","송파구","710",""," ","127.088274","37.5115262"
"1661","0","온수동길녹지"," ","도로변녹지","0","361.00000000","0E-8","구로구","530",""," ","126.8336217","37.493325"
"1689","0","봉천복개로"," ","노변분리","0","9489.00000000","0E-8","관악구","620",""," ","126.9382768","37.4850347"
"1690","0","탄천1교녹지대"," ","도로변녹지","0","4500.00000000","0E-8","송파구","710",""," ","127.0858338","37.5011985"
"1691","0","영동대교녹지대","청담동","가로녹지대","0","4268.00000000","0E-8","강남구","680",""," ","127.0551415","37.5250705"
"1692","0","서초로중앙분리대","강남역~서초역","중앙분리대","0","5760.00000000","0E-8","서초구","650",""," ","127.0193365","37.4954122"
"1693","0","테헤란로분리대"," ","분리녹지대","0","8253.00000000","0E-8","강남구","680",""," ","127.0532418","37.5058232"
"1694","0","테헤란로분리대"," ","분리녹지대","0","8253.00000000","0E-8","강남구","680",""," ","127.0618309","37.508456"
"1695","0","올림픽로 분리대"," ","중앙분리대","0","28907.00000000","0E-8","송파구","710",""," ","127.0768407","37.5116507"
"1696","0","길음역(삼부아파트)"," ","지하철환기구주변","0","370.00000000","3570.00000000","성북구","290",""," ","127.0250748","37.6031094"
"1697","0","장한동로터리녹지대","장한동","광장녹지","0","862.00000000","869.00000000","동대문구","230",""," ","127.0719897","37.5726296"
"1698","0","마을마당","미아6동645-28","휴게소","0","360.00000000","600.00000000","강북구","300",""," ","127.0209658","37.6165455"
"1699","0","등촌지하차도","신정동 313","일반녹지","0","2792.00000000","0E-8","양천구","470",""," ","126.8683498","37.5167103"
"1700","0","잠실대교녹지대"," ","도로변녹지","0","1200.00000000","0E-8","송파구","710",""," ","127.0967319","37.5181993"
"1701","0","성수여자중학교 앞(방음벽)","성수2가 333-17","도로변녹지","0","150.00000000","0E-8","성동구","200",""," ","127.0522885","37.5394544"
"1702","0","능동2마을마당","능동 산7-3,4","마을마당","0","297.00000000","0E-8","광진구","210",""," ","127.0764726","37.5464501"
"1703","0","봉천동1000-3"," ","간이휴게소","0","146.00000000","0E-8","관악구","620",""," ","126.9598035","37.4917383"
"1705","0","전농동 648-159","전농동 648-159","기타","0","19.00000000","222.00000000","동대문구","230",""," ","127.0477778","37.575782"
"1706","0","서소문별관녹지대","중구 태평로 1가 31"," ","0","2805.00000000","1212.00000000","중구","140",""," ","126.9736047","37.5647626"
"1707","0","우이천변도로녹지","번동427일대(한천로)","도로변녹지","0","2710.00000000","861.00000000","강북구","300",""," ","127.0385526","37.6334647"
"1686","0","봉천복개로"," ","노변분리","0","9489.00000000","0E-8","관악구","620",""," ","126.9414657","37.4836151"
"1709","0","미아6동녹지","미아동1267-97외","도로변녹지","0","69.00000000","360.00000000","강북구","300",""," ","127.0207474","37.6168518"
"1710","0","영등포ic"," ","도로변녹지","0","16145.00000000","0E-8","영등포구","560",""," ","126.9126037","37.5182334"
"1711","0","강동구 보건소","성내동541-2","건물조경","0","500.00000000","0E-8","강동구","740",""," ","127.1256481","37.5290019"
"1712","0","수유1동녹지","수유1동486-836","도로변녹지","0","61.00000000","1143.00000000","강북구","300",""," ","127.0126619","37.6281399"
"1714","0","자유로분리대","성산대교-고양시계(난지도)"," ","0","21850.00000000","0E-8","마포구","440",""," ","126.871005","37.5718072"
"1715","0","서부지원앞쉼터","공덕1동 105번지(구 경서중","간이휴게소","107","606.00000000","0E-8","마포구","440",""," ","126.9548068","37.548547"
"1743","0","남부순환로"," ","중앙분리","0","10363.00000000","0E-8","관악구","620",""," ","126.9314371","37.484462"
"1744","0","양화ic","양평2동184-4일대","광장녹지","0","35815.00000000","0E-8","영등포구","560",""," ","126.9010299","37.5377695"
"1745","0","도봉역앞 녹지대","도봉동637","도로변녹지","1993","702.00000000","1800.00000000","도봉구","320",""," ","127.0449744","37.6790996"
"1746","0","석계역주변 녹지대","석계역주변","도로변녹지","0","0E-8","0E-8","성북구","290",""," ","127.0666229","37.612517"
"1747","0","연남동가로공원녹지","연남동250","중앙분리대","0","1000.00000000","0E-8","마포구","440",""," ","126.9231191","37.5639859"
"1748","0","구청앞사거리"," ","도로변녹지","0","304.00000000","0E-8","구로구","530",""," ","126.8891982","37.4953014"
"1749","0","용두동사거리녹지대","용두동","광장녹지","0","131.00000000","529.00000000","동대문구","230",""," ","127.030362","37.577543"
"1750","0","봉천복개로"," ","노변분리","0","9489.00000000","0E-8","관악구","620",""," ","126.9433043","37.4829989"
"1751","0","방배중학교앞","반포4동","광장녹지","0","150.00000000","0E-8","서초구","650",""," ","126.9976031","37.494899"
"1752","0","장충동 쉼터","장충동2가산5-39","휴게소","0","277.00000000","620.00000000","중구","140",""," ","127.0070804","37.5523008"
"1704","0","궁마을녹지대","수서동740일부","가로녹지대","0","944.00000000","0E-8","강남구","680",""," ","127.0987598","37.4860851"
"1731","0","혜화동 로터리 녹지"," ","도로공원","0","1450.00000000","3576.00000000","종로구","110",""," ","127.0012149","37.5855621"
"1741","0","세종로 녹지"," ","광장녹지","0","3471.00000000","1829.00000000","종로구","110",""," ","126.9778639","37.5749961"
"1757","0","개화ic녹지대"," ","광장녹지","0","16800.00000000","0E-8","강서구","500",""," ","126.7969977","37.5831345"
"1758","0","본동제1녹지","본동481-1외3필지"," ","0","4339.00000000","0E-8","동작구","590",""," ","126.9525978","37.5087112"
"1759","0","여의도"," ","수림대","0","2000.00000000","0E-8","영등포구","560",""," ","126.9339603","37.5256978"
"1760","0","구의회","성내동541-4","건물조경","0","390.00000000","0E-8","강동구","740",""," ","127.1265058","37.5285955"
"1851","0","발바닥공원","방학동 270-1번지 일대","도로변녹지","2002","7000.00000000","5475.00000000","도봉구","320",""," ","127.0309874","37.659681"
"1859","0","올림픽로 분리대"," ","중앙분리대","0","28907.00000000","0E-8","송파구","710",""," ","127.0998708","37.5127098"
"1875","0","경의선철도연변","창천동","기타","1999","15000.00000000","0E-8","서대문구","410",""," ","126.9376683","37.5594065"
"1880","0","신설동 교통섬","신설동 실설동로터리","광장녹지","0","152.00000000","54.00000000","동대문구","230",""," ","127.0235838","37.5755623"
"1884","0","도시구조물벽면녹화","아차성길","기타","0","84.00000000","0E-8","광진구","210",""," ","127.0978612","37.5474069"
"1885","0","면목천길 녹지대","상봉2동~면목5동","도로변녹지","0","10273.00000000","15500.00000000","중랑구","260",""," ","127.0854157","37.5903496"
"1887","0","청계천변(신답역)","신답역부근","수림대","0","6028.00000000","0E-8","성동구","200",""," ","127.0398894","37.5726559"
"1888","0","행주ic녹지대"," ","광장녹지","0","249864.00000000","0E-8","강서구","500",""," ","126.8033189","37.5924059"
"1893","0","경부2철도변녹지","노량진동40번지일대","완충녹지","0","10500.00000000","0E-8","동작구","590",""," ","126.9332948","37.5134978"
"1900","0","도봉산입구 녹지대","도봉동282-244일대","분리대","1980","8511.00000000","32851.00000000","도봉구","320",""," ","127.0410097","37.6879432"
"1905","0","구의회","성내동541-4","건물조경","0","390.00000000","0E-8","강동구","740",""," ","127.1266088","37.5290011"
"1910","0","제방시설","양양천변의 일부인듯"," ","0","0E-8","0E-8","양천구","470",""," ","126.8871962","37.5352396"
"1916","0","구산마을마당","구산동 산45-7","휴게소","0","387.00000000","358.00000000","은평구","380",""," ","126.9072513","37.6085425"
"1917","0","동대문운동장 주변녹지대","동대문운동장 주변","광장녹지","0","451.00000000","1651.00000000","중구","140",""," ","127.0106405","37.5655203"
"1918","0","유원아파트앞녹지대","성산2동유원A앞(하천변)","도로변녹지","0","6617.00000000","0E-8","마포구","440",""," ","126.9150971","37.5672128"
"1919","0","신당2동 자투리녹지1,2","신당2동346-616","광장녹지","0","86.00000000","738.00000000","중구","140",""," ","127.0081225","37.5525595"
"1921","0","합정로변 푸른거리","2003.하반기 완공예정"," ","0","0E-8","0E-8","마포구","440",""," ","126.9120236","37.5534568"
"1922","0","신암중학교","암사동444","건물조경","0","1200.00000000","0E-8","강동구","740",""," ","127.1334308","37.5560691"
"1923","0","청담도로공원","삼성동80외9필지","가로녹지대","0","29817.00000000","0E-8","강남구","680",""," ","127.063566","37.520314"
"1925","0","동작대교옆","이촌동 301번지","도로변녹지","0","3950.00000000","0E-8","용산구","170",""," ","126.9838139","37.5166154"
"1927","0","둔촌로 가로녹지","둔촌사거리-둔촌역","광장녹지","0","0E-8","0E-8","강동구","740",""," ","127.1362341","37.5270973"
"1928","0","남부순환로수벽"," ","수벽","0","1000.00000000","0E-8","서초구","650",""," ","126.9847592","37.4762604"
"1930","0","천호대로"," ","수벽","0","468.00000000","0E-8","광진구","210",""," ","127.0954781","37.5482116"
"1914","0","군자교동쪽","능동92-11","광장녹지","0","1040.00000000","0E-8","광진구","210",""," ","127.0735869","37.5597692"
"1920","0","남부순환로"," ","중앙분리","0","10363.00000000","0E-8","관악구","620",""," ","126.9435133","37.4822212"
"1924","0","세곡동녹지대","세곡동","가로녹지대","0","23392.00000000","0E-8","강남구","680",""," ","127.1079202","37.4643048"
